order_id,customer_id,level_royalty,country,product_id,product_name,price,delivery_fee,delivery_days,delivery_hours
ORD00001,CUST0155,Gold,Vietnam,PROD001,Thus,123.15,9.41,6,144.0
ORD00029,CUST0264,Bronze,Canada,PROD001,Thus,123.15,13.43,6,144.0
ORD00048,CUST0234,Bronze,Singapore,PROD001,Thus,123.15,4.73,6,144.0
ORD00129,CUST0029,Silver,USA,PROD001,Thus,123.15,6.62,2,48.0
ORD00299,CUST0096,Silver,Vietnam,PROD001,Thus,123.15,7.05,6,144.0
ORD00319,CUST0131,Silver,Vietnam,PROD001,Thus,123.15,5.61,6,144.0
ORD00366,CUST0211,Gold,Singapore,PROD001,Thus,123.15,9.35,1,24.0
ORD00471,CUST0234,Bronze,Singapore,PROD001,Thus,123.15,5.43,4,96.0
ORD00477,CUST0228,Gold,France,PROD001,Thus,123.15,11.35,1,24.0
ORD00591,CUST0185,Gold,UK,PROD001,Thus,123.15,4.05,4,96.0
ORD00659,CUST0030,Platinum,USA,PROD001,Thus,123.15,6.28,4,96.0
ORD00663,CUST0192,Silver,Korea,PROD001,Thus,123.15,12.08,3,72.0
ORD00689,CUST0024,Gold,Vietnam,PROD001,Thus,123.15,4.66,7,168.0
ORD00704,CUST0028,Gold,UK,PROD001,Thus,123.15,14.21,6,144.0
ORD00716,CUST0114,Platinum,USA,PROD001,Thus,123.15,7.26,3,72.0
ORD00736,CUST0217,Platinum,UK,PROD001,Thus,123.15,4.28,5,120.0
ORD00750,CUST0131,Silver,Vietnam,PROD001,Thus,123.15,8.6,3,72.0
ORD00771,CUST0274,Bronze,Australia,PROD001,Thus,123.15,11.64,6,144.0
ORD00777,CUST0192,Silver,Korea,PROD001,Thus,123.15,13.5,5,120.0
ORD00778,CUST0022,Bronze,Vietnam,PROD001,Thus,123.15,10.16,5,120.0
ORD00880,CUST0005,Platinum,Singapore,PROD001,Thus,123.15,5.53,6,144.0
ORD00919,CUST0119,Platinum,Australia,PROD001,Thus,123.15,7.48,5,120.0
ORD00929,CUST0078,Platinum,USA,PROD001,Thus,123.15,5.61,4,96.0
ORD00953,CUST0233,Platinum,UK,PROD001,Thus,123.15,10.66,7,168.0
ORD00977,CUST0204,Bronze,Canada,PROD001,Thus,123.15,3.42,6,144.0
ORD01061,CUST0130,Platinum,Korea,PROD001,Thus,123.15,8.97,4,96.0
ORD01216,CUST0067,Silver,Vietnam,PROD001,Thus,123.15,10.59,2,48.0
ORD01460,CUST0024,Gold,Vietnam,PROD001,Thus,123.15,9.05,3,72.0
ORD01615,CUST0022,Bronze,Vietnam,PROD001,Thus,123.15,8.58,7,168.0
ORD01646,CUST0162,Platinum,France,PROD001,Thus,123.15,5.34,4,96.0
ORD01678,CUST0186,Bronze,Japan,PROD001,Thus,123.15,7.29,1,24.0
ORD01762,CUST0015,Silver,France,PROD001,Thus,123.15,12.85,3,72.0
ORD01808,CUST0083,Silver,UK,PROD001,Thus,123.15,12.25,1,24.0
ORD01815,CUST0158,Silver,USA,PROD001,Thus,123.15,12.8,2,48.0
ORD01824,CUST0052,Silver,Germany,PROD001,Thus,123.15,6.19,1,24.0
ORD01954,CUST0257,Bronze,Germany,PROD001,Thus,123.15,11.21,7,168.0
ORD01986,CUST0095,Bronze,Germany,PROD001,Thus,123.15,9.86,2,48.0
ORD02011,CUST0007,Silver,USA,PROD001,Thus,123.15,4.28,7,168.0
ORD02026,CUST0040,Bronze,Germany,PROD001,Thus,123.15,14.2,7,168.0
ORD02105,CUST0163,Bronze,France,PROD001,Thus,123.15,13.76,2,48.0
ORD02124,CUST0203,Gold,Germany,PROD001,Thus,123.15,12.39,3,72.0
ORD02127,CUST0017,Bronze,USA,PROD001,Thus,123.15,4.84,1,24.0
ORD02168,CUST0063,Bronze,Germany,PROD001,Thus,123.15,11.26,3,72.0
