order_id,customer_id,delivery_id,delivery_fee,product_id,order_date,shipping_date,request
ORD00001,CUST0155,DLV00001,9.41,PROD001,2024-04-04 09:58:03,2024-04-10 09:58:03,
ORD00002,CUST0028,DLV00002,11.37,PROD036,2024-01-28 00:51:17,2024-01-31 00:51:17,
ORD00003,CUST0252,DLV00003,3.15,PROD007,2024-02-23 15:13:40,2024-03-01 15:13:40,
ORD00004,CUST0246,DLV00004,5.21,PROD029,2023-11-14 02:10:38,2023-11-17 02:10:38,
ORD00005,CUST0245,DLV00005,3.78,PROD008,2023-12-25 01:14:16,2024-01-01 01:14:16,President now hit rather.
ORD00006,CUST0296,DLV00006,3.64,PROD041,2023-08-13 19:40:46,2023-08-19 19:40:46,
ORD00007,CUST0289,DLV00007,14.93,PROD020,2023-06-21 22:51:37,2023-06-22 22:51:37,
ORD00008,CUST0214,DLV00008,12.49,PROD039,2023-10-09 21:48:01,2023-10-14 21:48:01,
ORD00009,CUST0268,DLV00009,13.9,PROD025,2024-04-18 20:37:49,2024-04-22 20:37:49,
ORD00010,CUST0220,DLV00010,10.45,PROD020,2024-01-07 22:40:54,2024-01-12 22:40:54,Course measure order director clearly.
ORD00011,CUST0051,DLV00011,10.51,PROD049,2024-03-09 11:03:56,2024-03-11 11:03:56,
ORD00012,CUST0042,DLV00012,5.09,PROD011,2023-07-15 16:12:52,2023-07-17 16:12:52,
ORD00013,CUST0002,DLV00013,11.27,PROD027,2023-07-28 04:37:06,2023-08-01 04:37:06,Radio water position appear.
ORD00014,CUST0017,DLV00014,11.48,PROD015,2023-09-04 05:59:33,2023-09-07 05:59:33,Way group box return.
ORD00015,CUST0233,DLV00015,5.8,PROD005,2024-03-17 22:52:06,2024-03-23 22:52:06,
ORD00016,CUST0102,DLV00016,9.53,PROD028,2024-03-22 02:32:42,2024-03-23 02:32:42,Wish wonder budget add rest.
ORD00017,CUST0137,DLV00017,3.72,PROD010,2023-08-09 10:12:33,2023-08-10 10:12:33,Produce toward few bring yet morning.
ORD00018,CUST0292,DLV00018,4.49,PROD019,2023-05-31 06:20:54,2023-06-04 06:20:54,Later situation break however ball.
ORD00019,CUST0207,DLV00019,9.48,PROD018,2023-10-17 07:38:50,2023-10-22 07:38:50,Participant south role single.
ORD00020,CUST0021,DLV00020,6.87,PROD028,2024-02-06 12:19:26,2024-02-12 12:19:26,
ORD00021,CUST0047,DLV00021,13.03,PROD015,2023-11-12 14:45:02,2023-11-18 14:45:02,Let tree indeed particular finally.
ORD00022,CUST0011,DLV00022,12.86,PROD049,2024-01-17 21:40:32,2024-01-23 21:40:32,Establish goal interest research whatever important.
ORD00023,CUST0090,DLV00023,10.82,PROD031,2023-10-26 15:51:53,2023-10-31 15:51:53,Different power make.
ORD00024,CUST0093,DLV00024,10.62,PROD038,2023-09-11 07:04:51,2023-09-15 07:04:51,Clearly officer movement time leave since.
ORD00025,CUST0047,DLV00025,7.9,PROD031,2023-06-27 10:45:46,2023-06-30 10:45:46,Try give high Mr which.
ORD00026,CUST0054,DLV00026,7.94,PROD011,2024-03-28 09:46:47,2024-03-31 09:46:47,Wear play particularly indeed.
ORD00027,CUST0206,DLV00027,3.44,PROD049,2024-02-11 05:37:00,2024-02-16 05:37:00,
ORD00028,CUST0130,DLV00028,14.64,PROD021,2023-11-07 14:36:47,2023-11-08 14:36:47,Dream attack civil after state.
ORD00029,CUST0264,DLV00029,13.43,PROD001,2023-10-14 14:23:42,2023-10-20 14:23:42,What real why shake.
ORD00030,CUST0028,DLV00030,7.34,PROD013,2024-03-17 07:28:20,2024-03-22 07:28:20,Military left perform husband.
ORD00031,CUST0227,DLV00031,5.44,PROD049,2024-04-20 17:32:58,2024-04-21 17:32:58,Sit assume reflect family.
ORD00032,CUST0148,DLV00032,8.82,PROD029,2024-04-05 04:50:21,2024-04-11 04:50:21,
ORD00033,CUST0123,DLV00033,6.73,PROD046,2024-03-19 16:34:11,2024-03-21 16:34:11,
ORD00034,CUST0209,DLV00034,14.91,PROD006,2023-10-21 08:23:57,2023-10-23 08:23:57,Some general campaign window executive.
ORD00035,CUST0237,DLV00035,12.99,PROD008,2024-04-19 09:47:15,2024-04-25 09:47:15,Join party director account conference.
ORD00036,CUST0150,DLV00036,6.28,PROD033,2023-10-13 10:17:52,2023-10-19 10:17:52,Control life stock decade these.
ORD00037,CUST0242,DLV00037,9.62,PROD016,2023-06-15 21:20:13,2023-06-19 21:20:13,Have remember early society finally between.
ORD00038,CUST0261,DLV00038,13.37,PROD048,2023-08-30 03:33:57,2023-09-01 03:33:57,
ORD00039,CUST0213,DLV00039,9.09,PROD022,2024-01-15 08:21:23,2024-01-22 08:21:23,Myself firm current floor plant.
ORD00040,CUST0145,DLV00040,13.05,PROD047,2024-03-24 03:07:43,2024-03-27 03:07:43,Try push art more.
ORD00041,CUST0251,DLV00041,9.46,PROD010,2023-05-20 08:31:11,2023-05-24 08:31:11,Option begin arm.
ORD00042,CUST0283,DLV00042,7.53,PROD049,2024-03-30 22:47:57,2024-04-04 22:47:57,None minute traditional provide cell role.
ORD00043,CUST0097,DLV00043,9.86,PROD045,2023-11-19 10:34:11,2023-11-21 10:34:11,
ORD00044,CUST0211,DLV00044,11.94,PROD003,2024-01-29 11:28:18,2024-02-01 11:28:18,Network responsibility reality development piece.
ORD00045,CUST0196,DLV00045,12.51,PROD025,2024-04-03 14:56:59,2024-04-09 14:56:59,Explain executive help.
ORD00046,CUST0078,DLV00046,4.51,PROD032,2024-04-06 02:05:58,2024-04-07 02:05:58,Particular work fast perform note.
ORD00047,CUST0170,DLV00047,13.14,PROD007,2023-10-07 08:55:12,2023-10-14 08:55:12,
ORD00048,CUST0234,DLV00048,4.73,PROD001,2023-05-14 14:15:04,2023-05-20 14:15:04,Traditional bill serious seat.
ORD00049,CUST0080,DLV00049,12.38,PROD005,2023-09-02 04:52:40,2023-09-06 04:52:40,
ORD00050,CUST0204,DLV00050,13.22,PROD042,2023-07-05 18:14:31,2023-07-06 18:14:31,Specific government opportunity work establish.
ORD00051,CUST0274,DLV00051,10.52,PROD025,2023-08-09 05:34:06,2023-08-12 05:34:06,Hard myself rule give arrive civil.
ORD00052,CUST0250,DLV00052,10.41,PROD035,2024-02-21 09:59:36,2024-02-22 09:59:36,
ORD00053,CUST0148,DLV00053,4.08,PROD015,2023-07-11 21:31:08,2023-07-17 21:31:08,Light president top.
ORD00054,CUST0052,DLV00054,11.33,PROD029,2023-05-10 01:36:55,2023-05-12 01:36:55,Million describe investment spend.
ORD00055,CUST0024,DLV00055,3.67,PROD021,2023-05-10 05:05:52,2023-05-17 05:05:52,Must system station approach without step.
ORD00056,CUST0221,DLV00056,9.37,PROD010,2023-11-16 05:32:15,2023-11-18 05:32:15,Black send present on set.
ORD00057,CUST0093,DLV00057,3.95,PROD011,2023-06-30 23:00:51,2023-07-02 23:00:51,Various after every detail our.
ORD00058,CUST0124,DLV00058,4.72,PROD032,2023-07-23 01:32:30,2023-07-28 01:32:30,News hospital home western.
ORD00059,CUST0131,DLV00059,11.0,PROD030,2023-12-21 22:49:47,2023-12-24 22:49:47,Enjoy official bill station nice.
ORD00060,CUST0239,DLV00060,9.56,PROD019,2023-07-18 16:45:04,2023-07-24 16:45:04,
ORD00061,CUST0177,DLV00061,10.67,PROD038,2023-08-22 16:12:41,2023-08-25 16:12:41,While series big.
ORD00062,CUST0129,DLV00062,6.63,PROD030,2024-03-13 14:18:52,2024-03-20 14:18:52,Part good training war.
ORD00063,CUST0248,DLV00063,7.58,PROD007,2024-04-28 05:57:09,2024-04-30 05:57:09,May away hard week pass with.
ORD00064,CUST0152,DLV00064,3.26,PROD045,2024-04-11 21:54:16,2024-04-14 21:54:16,Newspaper clear water program especially.
ORD00065,CUST0203,DLV00065,9.79,PROD018,2024-04-09 21:43:31,2024-04-10 21:43:31,Before room offer ball.
ORD00066,CUST0026,DLV00066,8.96,PROD039,2023-08-21 15:49:37,2023-08-27 15:49:37,Very worker sing purpose mind.
ORD00067,CUST0147,DLV00067,5.76,PROD050,2023-06-21 14:45:38,2023-06-28 14:45:38,Road camera report.
ORD00068,CUST0113,DLV00068,10.45,PROD041,2023-06-09 18:16:46,2023-06-11 18:16:46,Special year dog company.
ORD00069,CUST0071,DLV00069,13.84,PROD041,2024-04-17 05:43:12,2024-04-18 05:43:12,Account but product else myself college.
